transaction_id,signup_id,transaction_start_date,amt
1,100,2020-04-30,24.9
2,101,2020-04-16,24.9
3,102,2020-04-28,9.9
4,102,2020-05-28,9.9
5,102,2020-06-27,9.9
6,102,2020-07-27,9.9
7,102,2020-08-26,9.9
8,102,2020-09-25,9.9
9,103,2020-04-11,24.9
10,104,2020-05-01,24.9
11,105,2020-04-21,9.9
12,105,2020-05-21,9.9
13,105,2020-06-20,9.9
14,106,2020-04-17,109.9
15,107,2020-04-14,109.9
16,108,2020-04-28,9.9
17,108,2020-05-28,9.9
18,109,2020-04-18,24.9
19,109,2020-07-17,24.9
20,110,2020-04-22,24.9
21,111,2020-04-11,109.9
22,112,2020-04-22,9.9
23,112,2020-05-22,9.9
24,112,2020-06-21,9.9
25,112,2020-07-21,9.9
26,112,2020-08-20,9.9
27,113,2020-04-29,109.9
28,114,2020-04-27,24.9
29,115,2020-05-05,24.9
30,115,2020-08-03,24.9
31,116,2020-04-24,24.9
32,116,2020-07-23,24.9
33,117,2020-04-29,109.9
34,118,2020-04-11,109.9
35,119,2020-04-28,24.9
36,119,2020-07-27,24.9
37,120,2020-04-17,24.9
38,121,2020-04-29,109.9
39,122,2020-04-20,9.9
40,122,2020-05-20,9.9
41,123,2020-04-20,9.9
42,123,2020-05-20,9.9
43,123,2020-06-19,9.9
44,123,2020-07-19,9.9
45,123,2020-08-18,9.9
46,123,2020-09-17,9.9
47,124,2020-04-25,24.9
48,125,2020-04-23,9.9
49,125,2020-05-23,9.9
50,126,2020-04-28,24.9
51,127,2020-05-01,24.9
52,127,2020-07-30,24.9
53,128,2020-05-04,9.9
54,128,2020-06-03,9.9
55,128,2020-07-03,9.9
56,128,2020-08-02,9.9
57,129,2020-04-11,109.9
58,130,2020-04-14,109.9
59,131,2020-04-29,24.9
60,132,2020-04-13,9.9
61,132,2020-05-13,9.9
62,132,2020-06-12,9.9
63,132,2020-07-12,9.9
64,132,2020-08-11,9.9
65,132,2020-09-10,9.9
66,133,2020-04-22,9.9
67,133,2020-05-22,9.9
68,134,2020-05-06,24.9
69,135,2020-04-25,24.9
70,135,2020-07-24,24.9
71,136,2020-05-05,24.9
72,137,2020-04-22,9.9
73,137,2020-05-22,9.9
74,137,2020-06-21,9.9
75,138,2020-05-01,24.9
76,138,2020-07-30,24.9
77,139,2020-05-05,24.9
78,139,2020-08-03,24.9
79,140,2020-04-24,24.9
80,140,2020-07-23,24.9
81,141,2020-05-04,9.9
82,141,2020-06-03,9.9
83,141,2020-07-03,9.9
84,141,2020-08-02,9.9
85,141,2020-09-01,9.9
86,142,2020-04-16,24.9
87,143,2020-05-06,24.9
88,143,2020-08-04,24.9
89,144,2020-04-20,109.9
90,145,2020-05-06,24.9
91,146,2020-05-02,109.9
92,147,2020-05-01,24.9
93,147,2020-07-30,24.9
94,148,2020-05-06,9.9
95,148,2020-06-05,9.9
96,148,2020-07-05,9.9
97,148,2020-08-04,9.9
98,148,2020-09-03,9.9
99,148,2020-10-03,9.9
100,149,2020-05-05,109.9
